commit_uid,commit_url,label_human_a,label_human_b,label_llm,label_gt,humans_agree,rationale_human_a,rationale_human_b,rationale_llm
fastapi#55035f440bf852f739e3ccd71b67034016ae9bba,https://github.com/fastapi/fastapi/commit/55035f440bf852f739e3ccd71b67034016ae9bba,0,0,1,0,1,Clean feature addition,no indication,"Added duplicated tutorial variants and broadened parameter handling with extra branching and helper logic across multiple files, increasing local complexity and coupling."
fastapi#a42c69049647f4fb731afc86c6eeb959248217e4,https://github.com/fastapi/fastapi/commit/a42c69049647f4fb731afc86c6eeb959248217e4,0,1,1,,0,Simple functions for docs generation,complex commit bundle with dependencies among each other. Severl tasks completed in one commit including maintainance complexity,"README generation logic was added with duplicated sponsor templating and new direct coupling between docs index, sponsors data, and README verification."
flask#81576c236a4dde33aeed13c84abed0ad2e796c2f,https://github.com/pallets/flask/commit/81576c236a4dde33aeed13c84abed0ad2e796c2f,0,0,1,0,1,"Code generalisations, even reducing complexity in some places",no indication,"Introduces a new FlaskGroup class and splits command setup across methods, increasing local complexity and coupling within the modified file."
keras#027f0776814de831341f9bcff3e9212e57713346,https://github.com/keras-team/keras/commit/027f0776814de831341f9bcff3e9212e57713346,0,1,0,,0,Targeted bug fix,"TODO in comment, SATD","Single-method refactor replaces prior serialization hook; no clear added complexity, duplication, weakened safeguard, or explicit temporary workaround introduced."
keras#07baa958f5d04a7b027658488b580b332e230bb4,https://github.com/keras-team/keras/commit/07baa958f5d04a7b027658488b580b332e230bb4,0,0,1,0,1,"Added well-documented, clean code",no indication,Introduces two new optimizer implementations with substantial duplicated structure and multiple TODO/pass stubs leaving clipping tests unimplemented.
keras#2481069ed4e43ce19c60e66fb5276450031aef56,https://github.com/keras-team/keras/commit/2481069ed4e43ce19c60e66fb5276450031aef56,1,0,1,,0,"Hidden dependencies circumventing the abstractions (NumPy backend depends on JAX), empty stubs",no indication,"Introduces a temporary workaround comment for NumPy backend import redirection and a pass-based stop_gradient stub, both visible shortcuts."
keras#35b2aa910391b253f062e9bef766fd7be3304668,https://github.com/keras-team/keras/commit/35b2aa910391b253f062e9bef766fd7be3304668,0,1,0,,0,"Clean commit, the SATD keyword (TODO) describes a future design consideration","TODO in comment, SATD","Adds output_shape support and corresponding tests; no visible duplication, weakening, magic numbers, or temporary workaround introduced."
keras#3ecf201aeaf97c90fd8ba02a61c4a766b4b0cfb9,https://github.com/keras-team/keras/commit/3ecf201aeaf97c90fd8ba02a61c4a766b4b0cfb9,1,0,0,,0,Code duplication,no indication,"Large feature addition, but visible diff shows no explicit shortcuts, duplication beyond straightforward patterns, or removed safeguards."
keras#403d5778756efd12c1cf8a0904ffa910809df66f,https://github.com/keras-team/keras/commit/403d5778756efd12c1cf8a0904ffa910809df66f,0,1,0,,0,"Small refactor, removed obsolete code","Quick fix, SATD","Refactor removes shared-process state and simplifies worker indexing; no clear new shortcut, duplication, or safeguard removal is visible."
keras#4a978914d2298db2c79baa4012af5ceff4a4e203,https://github.com/keras-team/keras/commit/4a978914d2298db2c79baa4012af5ceff4a4e203,0,0,1,0,1,"Clean refactoring, old code and TD removed",no indication,"Introduces duplicated test/layer utility code across files and adds a TODO workaround comment plus multiple new validation branches, increasing maintenance burden."
