commit_uid,commit_url,label_human_a,label_human_b,label_llm,label_gt,humans_agree,rationale_human_a,rationale_human_b,rationale_llm
fastapi#07e1dea467c9654ea771bfef23cb3bf9654feb01,https://github.com/fastapi/fastapi/commit/07e1dea467c9654ea771bfef23cb3bf9654feb01,0,0,0,0,1,Extended type,no indication,"Visible changes are type broadening for JSON Schema booleans and a new test; no clear duplication, weakening, or shortcut introduced."
fastapi#55035f440bf852f739e3ccd71b67034016ae9bba,https://github.com/fastapi/fastapi/commit/55035f440bf852f739e3ccd71b67034016ae9bba,0,0,1,0,1,Clean feature addition,no indication,"Added duplicated tutorial variants and broadened parameter handling with extra branching and helper logic across multiple files, increasing local complexity and coupling."
fastapi#a42c69049647f4fb731afc86c6eeb959248217e4,https://github.com/fastapi/fastapi/commit/a42c69049647f4fb731afc86c6eeb959248217e4,0,1,1,,0,Simple functions for docs generation,complex commit bundle with dependencies among each other. Severl tasks completed in one commit including maintainance complexity,"README generation logic was added with duplicated sponsor templating and new direct coupling between docs index, sponsors data, and README verification."
fastapi#abe695ba9ac8f02cda7481cb601ee1ea20a9e5d8,https://github.com/fastapi/fastapi/commit/abe695ba9ac8f02cda7481cb601ee1ea20a9e5d8,0,0,0,0,1,Tutorials,no indication,"Visible changes are new tutorial examples and router wiring; no clear duplication, safeguard removal, or concrete shortcut introduced in diff."
fastapi#b85b2e39425c9d37d614ce89c056ed77bad7af6d,https://github.com/fastapi/fastapi/commit/b85b2e39425c9d37d614ce89c056ed77bad7af6d,0,0,0,0,1,Clean implementation,no indication,"Adds encoder support and a regression test; no clear duplication, weakened safeguards, or explicit temporary workaround introduced in the diff."
flask#7183aefd6271fb9d9398b8d721dea15a699ed501,https://github.com/pallets/flask/commit/7183aefd6271fb9d9398b8d721dea15a699ed501,0,0,0,0,1,Only text change,no indication,"Documentation-only change; no visible code complexity, duplication, coupling, or safeguard removal."
flask#7233a3e0a223e8d426ff937f5c03d88636b0ade4,https://github.com/pallets/flask/commit/7233a3e0a223e8d426ff937f5c03d88636b0ade4,0,0,0,0,1,Simple text change / typo fix,no indication,"Single typo fix in a docstring; no added complexity, duplication, coupling, or weakened safeguards."
flask#81576c236a4dde33aeed13c84abed0ad2e796c2f,https://github.com/pallets/flask/commit/81576c236a4dde33aeed13c84abed0ad2e796c2f,0,0,1,0,1,"Code generalisations, even reducing complexity in some places",no indication,"Introduces a new FlaskGroup class and splits command setup across methods, increasing local complexity and coupling within the modified file."
flask#c4139e0e5de5ffa8f103956bdcc1ca7cf9e500fd,https://github.com/pallets/flask/commit/c4139e0e5de5ffa8f103956bdcc1ca7cf9e500fd,0,0,0,0,1,"Minimal complexity, no TD",no indication,"Adds JSON request support with validation and header handling; no clear duplication, weakened safeguards, or other visible technical debt."
flask#de5038f2fb25189e6d2ba8bc479d3d940a8ea43b,https://github.com/pallets/flask/commit/de5038f2fb25189e6d2ba8bc479d3d940a8ea43b,0,0,0,0,1,"Clean and simple implementation, ensuring backwards compatibility",clear change,"Small helper extraction replaces one call site; no visible duplication, complexity increase, or weakened safeguard in the diff."
