commit_uid,repo_id,commit_hash,commit_url,label_satd,label_llm,rationale_llm,label_human,rationale_human,lines_added,lines_deleted,files_changed,hunks,reviewer,timestamp
requests#8fbb1e6d97cda90d588d4263a18906a52d147fba,requests,8fbb1e6d97cda90d588d4263a18906a52d147fba,https://github.com/psf/requests/commit/8fbb1e6d97cda90d588d4263a18906a52d147fba,1,yes,Hard-coded print statement and magic string in get_unicode_from_response function.,no,Self-contained feature additions with no visible shortcuts,61,0,1,3,prof_it,2026-04-28T18:33:49.484Z
keras#1b5a05fceef4fd2e3b87352f00c4a9b2effd46f9,keras,1b5a05fceef4fd2e3b87352f00c4a9b2effd46f9,https://github.com/keras-team/keras/commit/1b5a05fceef4fd2e3b87352f00c4a9b2effd46f9,1,yes,"The diff introduces a new class LossScaleOptimizerV3 with extensive logic, increasing local complexity significantly.",yes,Clear SATD written in comment,721,212,3,110,prof_it,2026-04-28T18:33:49.484Z
keras#70d7d07bd186b929d81f7a8ceafff5d78d8bd701,keras,70d7d07bd186b929d81f7a8ceafff5d78d8bd701,https://github.com/keras-team/keras/commit/70d7d07bd186b929d81f7a8ceafff5d78d8bd701,1,yes,"Multiple TODO comments indicate temporary solutions and future work needed, suggesting self-admitted technical debt.",yes,"many TODOs, mixture of several change motivations",165,61,20,57,prof_it,2026-04-28T18:33:49.484Z
flask#de5038f2fb25189e6d2ba8bc479d3d940a8ea43b,flask,de5038f2fb25189e6d2ba8bc479d3d940a8ea43b,https://github.com/pallets/flask/commit/de5038f2fb25189e6d2ba8bc479d3d940a8ea43b,0,no,The diff shows a function addition and a refactoring without introducing any technical debt.,no,clear change,5,1,1,2,prof_it,2026-04-28T18:33:49.484Z
scrapy#c3d28cc4128d2eb387c5c89e36fb5f4261546bd6,scrapy,c3d28cc4128d2eb387c5c89e36fb5f4261546bd6,https://github.com/scrapy/scrapy/commit/c3d28cc4128d2eb387c5c89e36fb5f4261546bd6,0,no,"The diff shows refactoring and deprecation warnings, but no technical debt as defined by the constraints.",no,Self-contained feature additions with no visible shortcuts,280,230,7,17,prof_it,2026-04-28T18:33:49.484Z
keras#8feac19b8570fd15724c5f3138f08862176f0d89,keras,8feac19b8570fd15724c5f3138f08862176f0d89,https://github.com/keras-team/keras/commit/8feac19b8570fd15724c5f3138f08862176f0d89,0,yes,"Added multiple responsibilities in `call_metric_function` and `_handle_per_output_metrics`, increasing local complexity.",yes,Local complexity increase,25,12,3,15,prof_it,2026-04-28T18:33:49.484Z
keras#e27b2b333808fcde9b553d0748af80c3111c8f6b,keras,e27b2b333808fcde9b553d0748af80c3111c8f6b,https://github.com/keras-team/keras/commit/e27b2b333808fcde9b553d0748af80c3111c8f6b,0,yes,"Commented-out code reintroduced, TODO comment indicates temporary or incomplete solution.",yes,Added new TODO,5,15,1,2,prof_it,2026-04-28T18:33:49.484Z
keras#13cb10daf9ca6d4b9ebffc522c945a3502ea1c42,keras,13cb10daf9ca6d4b9ebffc522c945a3502ea1c42,https://github.com/keras-team/keras/commit/13cb10daf9ca6d4b9ebffc522c945a3502ea1c42,1,no,No visible technical debt. Changes modularize and improve code structure without introducing issues.,no,no indication,61,35,1,21,prof_it,2026-04-28T18:33:49.484Z
requests#402f3b4993fe8d0626fcffcbfc30caf671b65df3,requests,402f3b4993fe8d0626fcffcbfc30caf671b65df3,https://github.com/psf/requests/commit/402f3b4993fe8d0626fcffcbfc30caf671b65df3,0,no,"The diff simplifies conditionals without adding complexity, duplication, or weakening safeguards.",no,no indication,1,2,1,2,prof_it,2026-04-28T18:33:49.484Z
keras#fc52d9a084699a549ec1aadc7aed839bde75ef7c,keras,fc52d9a084699a549ec1aadc7aed839bde75ef7c,https://github.com/keras-team/keras/commit/fc52d9a084699a549ec1aadc7aed839bde75ef7c,0,no,"Changes improve type checking without introducing complexity, duplication, or coupling.",no,no indication,10,10,4,10,prof_it,2026-04-28T18:33:49.484Z
scrapy#fa58ab21e4670db1b11b6097d809cd18dd2ca667,scrapy,fa58ab21e4670db1b11b6097d809cd18dd2ca667,https://github.com/scrapy/scrapy/commit/fa58ab21e4670db1b11b6097d809cd18dd2ca667,0,no,"The diff shows removal of a deprecated function wrapper and direct use of a built-in function, reducing complexity.",no,no indication,2,19,1,3,prof_it,2026-04-28T18:33:49.484Z
