commit_uid,variant,trial,label,label_int,confidence,rationale,repo_id,commit_hash,lines_added,lines_deleted,files_changed,label_satd,label_consolidated
flask#5b0b9717da958fd6325c675d92be4f6667796112,v2_rubric_json,0,no,0,0.74,"Mostly fixture/test refactors and cleanup; visible changes don’t clearly add complexity, duplication, or weakened safeguards in the diff.",flask,5b0b9717da958fd6325c675d92be4f6667796112,773,748,12,0,0
keras#ce17b5e1b342cd981b1a8223d6da4572630d5692,v2_rubric_json,0,no,0,0.74,"Visible changes add backend-specific helpers and tests; no clear shortcut, duplication, or removed safeguard is directly shown.",keras,ce17b5e1b342cd981b1a8223d6da4572630d5692,609,215,12,0,0
keras#6b662d100cbfd41131744fd5fd8863a9671b2567,v2_rubric_json,0,no,0,0.74,"Visible changes are refactors and iterator API updates; no explicit shortcut, dead code, or removed safeguard is directly shown.",keras,6b662d100cbfd41131744fd5fd8863a9671b2567,739,187,9,0,0
scrapy#d2f1e00a6afa46c26a334a24217d5bf605bab9fb,v2_rubric_json,0,no,0,0.74,"Visible changes add features and tests; no clear duplication, magic numbers, weakened safeguards, or admitted temporary workaround in the diff.",scrapy,d2f1e00a6afa46c26a334a24217d5bf605bab9fb,1517,270,12,0,0
keras#23bdd4d417f0fda90465e3ab612c682e1d207ee3,v2_rubric_json,0,no,0,0.74,"Visible changes are a refactor and feature update; no clear duplication, magic numbers, weakened safeguards, or self-admitted temporary workaround introduced.",keras,23bdd4d417f0fda90465e3ab612c682e1d207ee3,246,163,5,0,0
keras#c9b5ba76053f32da422fdb351dbe895e2f5482e5,v2_rubric_json,0,no,0,0.78,"The diff shows a feature/refactor around save specs and tracing, but no clear shortcut, duplication, weakened safeguard, or explicit temporary workaround.",keras,c9b5ba76053f32da422fdb351dbe895e2f5482e5,240,113,13,0,0
keras#54738c9de91a8ca443030afb2642fde5ac996c91,v2_rubric_json,0,no,0,0.78,"Visible refactor centralizes random-layer behavior and adds serialization support; no clear shortcut, duplication, or weakened safeguard is directly shown.",keras,54738c9de91a8ca443030afb2642fde5ac996c91,145,46,5,0,0
keras#f0e215987c51a4f0e98c96a726276465be2f3071,v2_rubric_json,0,no,0,0.78,"Visible changes add helper extraction and tests; no clear duplication, dead code, weakened safeguards, or explicit temporary workaround introduced.",keras,f0e215987c51a4f0e98c96a726276465be2f3071,195,69,2,0,0
keras#98a762224578cf5e15be39fddf6917cf8efea6e0,v2_rubric_json,0,no,0,0.78,"Visible changes add features, tests, and doc updates; no clear duplication, weakened safeguards, or explicit temporary workaround introduced.",keras,98a762224578cf5e15be39fddf6917cf8efea6e0,531,154,29,0,0
keras#90700cef91c88a000d150e286821205fceef5ff1,v2_rubric_json,0,no,0,0.78,"Visible changes add optimizer tracking support and tests; no clear duplication, dead code, weakened safeguards, or explicit temporary workaround.",keras,90700cef91c88a000d150e286821205fceef5ff1,74,38,7,0,0
keras#8d87dc0981cb47062675818da46b605f1626962e,v2_rubric_json,0,no,0,0.78,"Visible changes add state-sync helpers and tracking, but no clear shortcut, duplication, weakened safeguard, or explicit temporary workaround is directly shown.",keras,8d87dc0981cb47062675818da46b605f1626962e,141,42,6,0,0
keras#c98ea36b96f6036b1dec569e5e496aee06a44b29,v2_rubric_json,0,no,0,0.78,"Visible changes add compatibility handling and tests; no clear new shortcut, duplication, or weakened safeguard is directly introduced.",keras,c98ea36b96f6036b1dec569e5e496aee06a44b29,173,28,5,0,0
keras#bcb0e8bc686df15dbbc905503ec9fc337bbabbb9,v2_rubric_json,0,no,0,0.78,"Visible changes are a feature refactor to table rendering and tests; no clear shortcut, duplication, or removed safeguard is directly shown.",keras,bcb0e8bc686df15dbbc905503ec9fc337bbabbb9,355,303,3,0,0
keras#7253945282b596e56f6844af305975cd2753e70f,v2_rubric_json,0,no,0,0.78,"Adds a new predict implementation; visible complexity increases, but no clear shortcut, duplication, weakened safeguard, or explicit temporary workaround is shown.",keras,7253945282b596e56f6844af305975cd2753e70f,70,2,1,0,0
keras#17c51418fa3c5678db12d932fe9041c728bb2cdb,v2_rubric_json,0,no,0,0.78,"Visible changes add serialization/autoconfig logic and validation; no clear duplication, weakened safeguards, or explicit temporary workaround is directly shown.",keras,17c51418fa3c5678db12d932fe9041c728bb2cdb,193,8,5,0,0
keras#43e33ab9ab44070a6627c04d831de915dc702394,v2_rubric_json,0,no,0,0.78,"Visible changes add grouped convolution support and shared base classes; no clear duplication, weakened safeguards, or explicit temporary workaround introduced.",keras,43e33ab9ab44070a6627c04d831de915dc702394,1246,73,11,1,0
keras#2484922d54ca8a94a5fda05e1f4bc480b1ef6ba1,v2_rubric_json,0,no,0,0.78,"Visible changes add new transpose-convolution layers and tests; no clear shortcut, duplication, weakened safeguard, or admitted temporary workaround is directly shown.",keras,2484922d54ca8a94a5fda05e1f4bc480b1ef6ba1,1107,16,11,0,0
keras#4a978914d2298db2c79baa4012af5ceff4a4e203,v2_rubric_json,0,no,0,0.78,"Mostly refactors, doc fixes, and validation additions; no clear new shortcut, duplication, or weakened safeguard is directly visible.",keras,4a978914d2298db2c79baa4012af5ceff4a4e203,707,582,30,0,0
keras#bf2ab2d6d0436d1e4b84652e119189bb5ff33abe,v2_rubric_json,0,no,0,0.78,"Visible changes add a new Lambda layer, serialization support, and shape utilities; no clear duplication, weakened safeguards, or explicit shortcuts are directly shown.",keras,bf2ab2d6d0436d1e4b84652e119189bb5ff33abe,350,5,8,0,0
keras#dc1fe7f95b389e1bda9056ba53e739821fbe8e6e,v2_rubric_json,0,no,0,0.78,"Visible changes add serialization support and validation; no clear duplication, dead code, weakened safeguards, or explicit temporary workaround is introduced.",keras,dc1fe7f95b389e1bda9056ba53e739821fbe8e6e,201,52,7,1,0
keras#8d453471d0ab180e31c1d259dd18084ab222cc69,v2_rubric_json,0,no,0,0.78,"Mostly backend/device compatibility and test updates; no clear new shortcut, duplication, or weakened safeguard is directly visible.",keras,8d453471d0ab180e31c1d259dd18084ab222cc69,644,690,19,1,0
keras#07bb88c02a9f816bd33d012deb877eb5660a5911,v2_rubric_json,0,no,0,0.78,"Visible changes are feature/support updates and refactors; no clear duplication, dead code, weakened safeguards, or explicit temporary workaround introduced.",keras,07bb88c02a9f816bd33d012deb877eb5660a5911,290,70,21,0,0
fastapi#bd219c2bbf2b48f97b42cd0a13c2da8230e52c9b,v2_rubric_json,0,no,0,0.78,"Large feature addition, but no directly visible shortcut, duplication, weakened safeguard, or self-admitted temporary workaround in the diff.",fastapi,bd219c2bbf2b48f97b42cd0a13c2da8230e52c9b,351,38,1,0,0
fastapi#955e9fcb3198e1f34c562fc240591df783ae1725,v2_rubric_json,0,no,0,0.78,"Visible changes are feature-oriented and test-added; no explicit shortcut, duplication, or removed safeguard is directly shown in the diff.",fastapi,955e9fcb3198e1f34c562fc240591df783ae1725,141,18,4,0,0
keras#81c509799723d815ce0ad59e08d661dd3ce6941f,v2_rubric_json,0,no,0,0.78,"Visible changes add context propagation support and tests; no clear duplication, weakened safeguards, magic numbers, or admitted temporary workaround.",keras,81c509799723d815ce0ad59e08d661dd3ce6941f,202,44,4,0,0
keras#9bcf324da2176c832662feedc3e16873676b02da,v2_rubric_json,0,no,0,0.78,"Visible changes add a new layer and tests; no explicit shortcuts, duplication, weakened safeguards, or temporary workaround are directly shown.",keras,9bcf324da2176c832662feedc3e16873676b02da,273,0,5,0,0
keras#5a9b26d1c7d4ee7f5e9472f7d393888e79971a29,v2_rubric_json,0,no,0,0.78,"Visible changes are feature refactoring and backend-specific dispatch; no clear duplication, weakened safeguards, or explicit temporary workaround introduced.",keras,5a9b26d1c7d4ee7f5e9472f7d393888e79971a29,658,297,14,1,0
keras#c014c5e6f07f5e22ed4f879df341f9ddf9753a2b,v2_rubric_json,0,no,0,0.78,"Mostly refactors error handling and test expectations; no clear duplication, dead code, weakened safeguards, or explicit temporary workaround introduced.",keras,c014c5e6f07f5e22ed4f879df341f9ddf9753a2b,90,62,3,0,0
keras#4ff65a53d8fff2c6a9fca51552f2741423554c31,v2_rubric_json,0,no,0,0.78,"Large refactor adds nested-structure support and tests; no explicit shortcut, duplication, dead code, or weakened safeguard is directly visible.",keras,4ff65a53d8fff2c6a9fca51552f2741423554c31,666,184,5,0,0
keras#d65881b6948c2d46bfd26245ae7510b19f083c0c,v2_rubric_json,0,no,0,0.78,"Visible changes add functionality and test adjustments; no explicit shortcuts, duplication, removed safeguards, or admitted temporary code are directly shown.",keras,d65881b6948c2d46bfd26245ae7510b19f083c0c,386,6,4,0,0
keras#67b26f5a576e3a42316c735a9c1629c592b4257e,v2_rubric_json,0,no,0,0.78,"Visible changes add shared preprocessing support and validation; no clear duplication, dead code, weakened safeguards, or explicit temporary workaround is directly shown.",keras,67b26f5a576e3a42316c735a9c1629c592b4257e,203,81,6,0,0
keras#f6a81cc2f524bf3d2e9cb1923d101f1308e4711b,v2_rubric_json,0,no,0,0.78,"Visible changes add symbolic scope and loss tracking, but no clear shortcut, duplication, dead code, or removed safeguard is directly shown.",keras,f6a81cc2f524bf3d2e9cb1923d101f1308e4711b,286,38,18,0,0
keras#dfc4f788720ee58322c927ef061501b48a47eac3,v2_rubric_json,0,no,0,0.78,"Visible changes add memory-based branching and test parameterization, but no clear duplication, dead code, weakened safeguards, or explicit temporary workaround.",keras,dfc4f788720ee58322c927ef061501b48a47eac3,128,76,3,0,0
keras#63586fa698cad7005f561fcdbb5ce590fb2484b1,v2_rubric_json,0,no,0,0.78,"Large feature expansion and refactors are visible, but no explicit shortcut, dead code, removed safeguard, or admitted temporary workaround is directly shown.",keras,63586fa698cad7005f561fcdbb5ce590fb2484b1,861,248,7,1,0
keras#f40e443279cc89198dc15712d334d0806e4c6e92,v2_rubric_json,0,no,0,0.78,"Visible changes add functionality and tests; no explicit shortcut, dead code, or removed safeguard is directly shown.",keras,f40e443279cc89198dc15712d334d0806e4c6e92,421,70,4,0,0
keras#818c9fadd9cb1748f2b5545e8ef5f141526ec14e,v2_rubric_json,0,no,0,0.78,"Visible changes are mostly refactoring and backend support expansion; no clear shortcut, duplication, or safeguard removal is directly introduced.",keras,818c9fadd9cb1748f2b5545e8ef5f141526ec14e,796,392,12,0,0
keras#4ffc3271a558351231099400360d73363a67f527,v2_rubric_json,0,no,0,0.78,"Large feature expansion, but no directly visible shortcuts, duplication, weakened safeguards, or temporary workarounds in the diff.",keras,4ffc3271a558351231099400360d73363a67f527,967,152,6,0,0
keras#0728d4541497ddd5499bb3c4f7e2555fafd14cb5,v2_rubric_json,0,no,0,0.78,"Visible changes add output-name plumbing and tests; no clear shortcut, duplication, dead code, or removed safeguard is directly shown.",keras,0728d4541497ddd5499bb3c4f7e2555fafd14cb5,348,28,5,1,0
keras#fd8bbe2284f1ddfbc2578fce9cc5b2af35b7c927,v2_rubric_json,0,no,0,0.78,"Visible changes are a refactor and feature expansion; no clear duplication, magic numbers, weakened safeguards, or self-admitted temporary workaround introduced.",keras,fd8bbe2284f1ddfbc2578fce9cc5b2af35b7c927,196,136,2,0,0
keras#6c1e3b267ae8953f919fceff407e352bd2e2e453,v2_rubric_json,0,no,0,0.78,"Visible changes add validation, tests, and refactoring; no clear shortcut, duplication, or safeguard removal is directly shown.",keras,6c1e3b267ae8953f919fceff407e352bd2e2e453,546,211,22,1,0
requests#65a765fe882ab30f794be8108abf9defd05900c5,v2_rubric_json,0,no,0,0.78,"Visible changes are a refactor/feature rewrite; no clear duplication, weakened safeguards, or explicit temporary workaround is directly introduced.",requests,65a765fe882ab30f794be8108abf9defd05900c5,65,16,1,0,0
flask#bc0c0559e384dc88441775a3907487f4a2b515b4,v2_rubric_json,0,no,0,0.78,"Feature addition only; no explicit duplication, weakened safeguards, dead code, or temporary workaround is directly visible in the diff.",flask,bc0c0559e384dc88441775a3907487f4a2b515b4,273,0,2,0,0
scrapy#c74ef660c7b28cd69825a4b9843230a383f702f4,v2_rubric_json,0,no,0,0.78,"Visible changes add features and refactor stream closure handling; no clear duplication, dead code, weakened safeguards, or explicit temporary workaround is directly shown.",scrapy,c74ef660c7b28cd69825a4b9843230a383f702f4,150,64,2,0,0
scrapy#83eb5376458ce1d444e8ad7911730ee0c58c8544,v2_rubric_json,0,no,0,0.78,"Visible changes are feature/refactor oriented; no clear new shortcut, duplication, dead code, or removed safeguard is directly shown.",scrapy,83eb5376458ce1d444e8ad7911730ee0c58c8544,171,97,4,1,0
scrapy#9cbbfd8b04835c40568b687ef8b13d901db988cb,v2_rubric_json,0,no,0,0.78,"Visible changes are a refactor from spider instances to classes plus a small default spider helper; no clear duplication, safeguard removal, or explicit shortcut.",scrapy,9cbbfd8b04835c40568b687ef8b13d901db988cb,64,50,5,0,0
scrapy#a9a911fb09316079965b06b8ced6a4b688f06551,v2_rubric_json,0,no,0,0.78,"Visible refactor splits process/logging responsibilities and removes MultiCrawlerProcess; no clear duplication, weakened safeguards, or explicit temporary workaround shown.",scrapy,a9a911fb09316079965b06b8ced6a4b688f06551,60,57,5,0,0
scrapy#cdecc760eeef2c7c60b2c9883c5c0eee0cd38e6f,v2_rubric_json,0,no,0,0.78,"Visible changes add caching policy logic and tests; no clear duplication, dead code, weakened safeguards, or explicit temporary workaround introduced.",scrapy,cdecc760eeef2c7c60b2c9883c5c0eee0cd38e6f,484,463,3,0,0
scrapy#6f1a5d8db6adf7e84e506321fb47f6636e4ea8aa,v2_rubric_json,0,no,0,0.78,"Visible changes are feature/refactor oriented; no clear duplication, temporary workaround, removed safeguard, or explicit shortcut is directly introduced in the diff.",scrapy,6f1a5d8db6adf7e84e506321fb47f6636e4ea8aa,95,56,6,0,0
scrapy#bc6eee71e325fb2707c5ddad007d94f158d73b2c,v2_rubric_json,0,no,0,0.78,"Visible changes are mostly refactors and feature additions; no clear duplication, weakened safeguards, or explicit temporary workaround is directly introduced.",scrapy,bc6eee71e325fb2707c5ddad007d94f158d73b2c,408,191,8,0,0
scrapy#2152a2a50898b91a44e6b0c282b69b7bfb8d18f0,v2_rubric_json,0,no,0,0.78,"Visible changes add async support and tests; no clear duplication, weakened safeguards, magic numbers, or self-admitted temporary workaround in the diff.",scrapy,2152a2a50898b91a44e6b0c282b69b7bfb8d18f0,161,16,7,0,0
