commit_uid,variant,trial,label,label_int,confidence,rationale
requests#0477018761c67152cdcc0b83d56f27e701e65b9e,v2_rubric_json,0,no,0,0.86,"Visible changes are a new setup script and publish helper; no clear shortcut, duplication, weakened safeguard, or explicit temporary workaround is introduced."
requests#75b499dd046060021db0c7a772dd34df9374a30b,v2_rubric_json,0,no,0,0.99,"Only adds a Python file header and unittest import; no visible complexity, duplication, weakened safeguards, or temporary workaround."
requests#853a4fd04ce3f4644e204418ee2cd694d9f29180,v2_rubric_json,0,no,0,0.99,"Only adds minimal import/header lines; no visible complexity, duplication, weakened safeguards, or explicit temporary workaround in the diff."
requests#d8b19573f38aa84db95a7e4d1f1c0a2fa26517eb,v2_rubric_json,0,yes,1,0.98,"Introduces multiple placeholder stubs and pass statements for core classes/functions, leaving incomplete functionality and dead code in place."
requests#b72e1d19aff997d00ef617a3aa0eea8ccdcc3984,v2_rubric_json,0,yes,1,0.98,"Introduces broken/unfinished code: `send()` contains `pass` plus invalid `set self.response()`, and `__setattr__` references undefined `_METHODS`."
requests#54240b4811b66dc7d5c2738b91994c21023f0e9e,v2_rubric_json,0,yes,1,0.95,"Introduces commented-out placeholder production code and a no-op send() body, plus repeated return-response comments across functions."
requests#ef9bae8d9f2dc605d4fbcdf24256b6cc82612a2d,v2_rubric_json,0,yes,1,0.93,"Introduces duplicated request wrapper stubs, adds new coupling to requests.handler, and leaves several methods as pass placeholders while expanding API surface."
requests#32cc197a81502c30715c9e164006dce6debcd1bf,v2_rubric_json,0,yes,1,0.95,"Repeated near-identical request setup code was added across get/head/post/put/delete, increasing duplication and local maintenance cost."
requests#49f915fb90f135082a83f64a21cc901d0b0e4d15,v2_rubric_json,0,yes,1,0.98,"Adds hard-coded network call and stray unused variable/print in module scope, creating brittle side effects and dead code."
requests#af272d58276a9d1415a563e4ac763a6207742342,v2_rubric_json,0,yes,1,0.98,"Introduces hard-coded URL and multiple empty method branches with pass, plus added sent-state complexity and an uninitialized success path."
requests#e9c2b917d2ba340e440f3da35846167c86c610a8,v2_rubric_json,0,yes,1,0.98,"Introduces a stubbed _checks() method with pass, plus repeated try/except blocks and duplicated success handling across branches."
requests#44aa6806f3bf2255c151ec2661b8765ca190c0c4,v2_rubric_json,0,yes,1,0.98,"Introduces a clear bug/shortcut: GET handling is replaced with pass, and POST assigns r.headers instead of req.headers, weakening functionality."
requests#327d923ce673a13c170446911ceec50529a9253c,v2_rubric_json,0,yes,1,0.98,"Introduces clear bugs/shortcuts: uses undefined/misspelled variables (r, self.paams), inconsistent params handling, and adds duplicated auth/open logic in one method."
requests#4f9d598ff486396d9ad45c7e402abe099dec8f4a,v2_rubric_json,0,no,0,0.93,"Refactoring extracts opener creation and fixes GET parameter handling; no clear shortcut, duplication, or weakened safeguard is directly introduced."
requests#871de2ab23a49dd0beaee4cd8742c54038d16e96,v2_rubric_json,0,no,0,0.93,"Refactors HEAD handling into existing GET path and fixes head() parameter naming; no clear shortcut, duplication, or weakened safeguard is introduced."
requests#71df02df2c9ab37a8ee40b31f5e28742d1a6cee8,v2_rubric_json,0,yes,1,0.93,"Adds a new _Request subclass and duplicated PUT/GET handling with commented-out dead code, increasing local complexity and maintenance burden."
requests#3c32045da05cda554e65d3b943bb1128b2482c7f,v2_rubric_json,0,yes,1,0.97,Introduces duplicated method-specific request handling and a new direct dependency on _get_opener across branches; also adds a visible typo bug: self.resonse.
requests#6fb1997b6a37f27aeda5e26aebcb886a4d2b817a,v2_rubric_json,0,yes,1,0.98,Introduces a self-admitted temporary workaround comment and weakens/reshuffles exception handling in the same commit.
requests#f1d9aae10e82e7d122b2172616c7a675971cd0e6,v2_rubric_json,0,no,0,0.97,"Refactors method handling to uppercase and removes duplicated DELETE branch; no visible shortcut, duplication, or weakened safeguard introduced."
requests#f566bb21400cecf4dfe5a6c7d9bc7fb62abbb57d,v2_rubric_json,0,no,0,0.86,"The diff mainly replaces broad exception handling with narrower HTTPError handling and adds URL validation; no clear shortcut, duplication, or weakened safeguard is directly introduced."
requests#59c6aebd606e3c5fb7b684817faa92051fc0295a,v2_rubric_json,0,no,0,0.99,"Pure variable rename; no added complexity, duplication, weakened safeguards, or other visible technical debt."
requests#4018276b54a644f3529cbe751e8db594056dc9e9,v2_rubric_json,0,no,0,0.98,"Version metadata update and import cleanup only; no visible complexity, duplication, weakened safeguards, or temporary workaround."
requests#e796aae504ac3170d01d0be92c87a9c39350bbf9,v2_rubric_json,0,no,0,0.93,"Mostly documentation and formatting changes; no clear new shortcut, duplication, weakened safeguard, or added complexity is directly visible."
requests#e403a8a42c3fb94e95c48e71fdb944811a2b45f4,v2_rubric_json,0,no,0,0.97,"Adds docstrings only; no visible complexity, duplication, weakened safeguards, or temporary workaround in the diff."
requests#9f4ce17a29ead608a42649b3fec4a85b9911dbc9,v2_rubric_json,0,no,0,0.99,"Single version bump only; no visible complexity, duplication, weakened safeguards, or temporary workaround in the diff."
requests#fdd54e14d68123899e61dd651176264b1276f416,v2_rubric_json,0,no,0,0.99,"Single blank-line removal in a docstring; no added complexity, duplication, coupling, or weakened safeguards visible."
requests#4a3f55997bc73d9ff8312cfae68a028728b49f66,v2_rubric_json,0,no,0,0.93,"Adds straightforward tests and a unittest harness; no visible shortcuts, duplication, weakened safeguards, or temporary workaround introduced."
requests#e76fa915341f750dff6f1ac77bc3d77ff7134450,v2_rubric_json,0,no,0,0.98,"New Sphinx configuration file only; no visible shortcuts, duplication, weakened safeguards, or added complexity in the diff."
requests#18db8b8445951c6b2d77fcb5d4934e8ca2dd1d6e,v2_rubric_json,0,no,0,0.99,"Single import path change only; no visible complexity, duplication, weakened safeguards, or temporary workaround."
requests#bb4577802990599b68820c1b41e231918c50d97c,v2_rubric_json,0,no,0,0.97,"Adds simple __repr__ methods; no clear shortcut, duplication, weakened safeguard, or complexity increase is directly visible."
requests#f66eafdffdc8fa9a33e97a7c8f0d927ef72a1fdb,v2_rubric_json,0,no,0,0.96,"Mostly formatting/docstring cleanup and whitespace changes; no clear new complexity, duplication, weakened safeguards, or temporary workaround is introduced."
requests#800b03457b6a80c0310940c03bffe7e6dd5b3286,v2_rubric_json,0,no,0,0.99,"Single blank-line insertion only; no added complexity, duplication, coupling, or weakened safeguards visible."
requests#9ad8589efd625fe125345a6e1508ee5be78fd547,v2_rubric_json,0,no,0,0.99,"Single metadata/license classifier change only; no added complexity, duplication, weakened safeguards, or temporary workaround visible."
requests#d961000b96d2f67de97ccee6d150c30353c9b3c4,v2_rubric_json,0,no,0,0.99,"Only a comment was removed; no added complexity, duplication, weakened safeguards, or other debt is visible."
requests#df419fa6fa5db2c539145cc823c7106c00bb2b13,v2_rubric_json,0,yes,1,0.86,Large new multipart/streaming implementation adds substantial local complexity and duplicated Content-Length validation across HTTP and HTTPS handlers.
requests#e6d5e5319ecba82021143624c1040d0ad01bce41,v2_rubric_json,0,no,0,0.97,"Adds an optional parameter and docstring entries only; no visible complexity, duplication, weakened safeguards, or temporary workaround."
requests#221bed27dda5e3c2c051de72b5553c73d6183985,v2_rubric_json,0,no,0,0.98,"Only adds imports; no visible complexity, duplication, weakened safeguards, or temporary workaround in the diff."
requests#127bbbb18dccc0bb0522377c7b81b99b63b84a68,v2_rubric_json,0,no,0,0.99,"Single import addition only; no visible complexity, duplication, weakened safeguards, or explicit temporary workaround in the diff."
