commit_uid,repo_id,commit_hash,commit_url,label_satd,label_human,rationale_human,lines_added,lines_deleted,files_changed,hunks,label_llm,confidence_llm,rationale_llm
requests#8fbb1e6d97cda90d588d4263a18906a52d147fba,requests,8fbb1e6d97cda90d588d4263a18906a52d147fba,https://github.com/psf/requests/commit/8fbb1e6d97cda90d588d4263a18906a52d147fba,1,0,"Clean addition of functions, concerns are separated",61,0,1,3,yes,0.95,"Introduces a new function with multiple responsibilities and nested fallback logic, plus a stray debug print and hard-coded fallback behavior."
keras#1b5a05fceef4fd2e3b87352f00c4a9b2effd46f9,keras,1b5a05fceef4fd2e3b87352f00c4a9b2effd46f9,https://github.com/keras-team/keras/commit/1b5a05fceef4fd2e3b87352f00c4a9b2effd46f9,1,1,Code clone without proper/clean refactor,721,212,3,110,yes,0.97,"Introduces a large copied LossScaleOptimizerV3 class, duplicating existing logic across files and adding new coupling plus extra branching in tests."
keras#70d7d07bd186b929d81f7a8ceafff5d78d8bd701,keras,70d7d07bd186b929d81f7a8ceafff5d78d8bd701,https://github.com/keras-team/keras/commit/70d7d07bd186b929d81f7a8ceafff5d78d8bd701,1,0,"Clean implementation, even reducing cognitive load / unnecessary complexity in some places",165,61,20,57,yes,0.86,"Introduces new TODO-admitted workaround and direct internal API replacements across many files, increasing coupling and maintenance burden."
flask#de5038f2fb25189e6d2ba8bc479d3d940a8ea43b,flask,de5038f2fb25189e6d2ba8bc479d3d940a8ea43b,https://github.com/pallets/flask/commit/de5038f2fb25189e6d2ba8bc479d3d940a8ea43b,0,0,"Clean and simple implementation, ensuring backwards compatibility",5,1,1,2,no,0.98,"Small helper extraction replaces one call site; no visible duplication, complexity increase, or weakened safeguard in the diff."
scrapy#c3d28cc4128d2eb387c5c89e36fb5f4261546bd6,scrapy,c3d28cc4128d2eb387c5c89e36fb5f4261546bd6,https://github.com/scrapy/scrapy/commit/c3d28cc4128d2eb387c5c89e36fb5f4261546bd6,0,0,Cleanly implemented rewrite/upgrade,280,230,7,17,no,0.93,"Mostly refactor/unification and file moves; no clear added duplication, weakened safeguards, or explicit temporary workaround visible."
keras#8feac19b8570fd15724c5f3138f08862176f0d89,keras,8feac19b8570fd15724c5f3138f08862176f0d89,https://github.com/keras-team/keras/commit/8feac19b8570fd15724c5f3138f08862176f0d89,0,0,Clean implementation,25,12,3,15,no,0.93,"Adds metric update plumbing and TensorFlow-only guard, but no clear duplication, weakening, or other direct technical debt evidence is visible."
keras#e27b2b333808fcde9b553d0748af80c3111c8f6b,keras,e27b2b333808fcde9b553d0748af80c3111c8f6b,https://github.com/keras-team/keras/commit/e27b2b333808fcde9b553d0748af80c3111c8f6b,0,0,Only test cases,5,15,1,2,no,0.93,"Visible changes are import/path rewrites and test decorator updates; no clear added complexity, duplication, weakened safeguards, or temporary workaround."
keras#13cb10daf9ca6d4b9ebffc522c945a3502ea1c42,keras,13cb10daf9ca6d4b9ebffc522c945a3502ea1c42,https://github.com/keras-team/keras/commit/13cb10daf9ca6d4b9ebffc522c945a3502ea1c42,1,0,"Clean change, no shortcuts",61,35,1,21,no,0.86,"Refactor adds a build-directory workflow and parameterization, but no clear duplication, weakened safeguards, or explicit temporary workaround is introduced."
requests#402f3b4993fe8d0626fcffcbfc30caf671b65df3,requests,402f3b4993fe8d0626fcffcbfc30caf671b65df3,https://github.com/psf/requests/commit/402f3b4993fe8d0626fcffcbfc30caf671b65df3,0,0,Reduces complexity by removing redundant check,1,2,1,2,no,0.98,"Small conditional refinement only; no added complexity, duplication, weakened safeguards, or temporary workaround visible."
keras#fc52d9a084699a549ec1aadc7aed839bde75ef7c,keras,fc52d9a084699a549ec1aadc7aed839bde75ef7c,https://github.com/keras-team/keras/commit/fc52d9a084699a549ec1aadc7aed839bde75ef7c,0,0,Simple change,10,10,4,10,no,0.97,"Mostly type-check modernization and test updates; no clear added complexity, duplication, weakened safeguards, or temporary workaround visible."
scrapy#fa58ab21e4670db1b11b6097d809cd18dd2ca667,scrapy,fa58ab21e4670db1b11b6097d809cd18dd2ca667,https://github.com/scrapy/scrapy/commit/fa58ab21e4670db1b11b6097d809cd18dd2ca667,0,0,Removed obsolete code,2,19,1,3,no,0.97,"Removes a helper and uses inspect.getfullargspec directly; no visible shortcut, duplication, or weakened safeguard in the diff."
scrapy#3954e600ca39fd8b02e881758b1bbc0029279d1e,scrapy,3954e600ca39fd8b02e881758b1bbc0029279d1e,https://github.com/scrapy/scrapy/commit/3954e600ca39fd8b02e881758b1bbc0029279d1e,0,0,"Added one file with clean, low-complexity functions",65,0,2,2,no,0.93,"New cache storage feature; no visible duplication, weakened safeguards, dead code, or explicit temporary workaround in the diff."
